        word            tf        idf
much                 0.000921   0.000000  
muddl                0.000921   0.000000  
mule                 0.000921   0.000000  
multipl              0.000921   0.000000  
murder               0.000921   0.000000  
must                 0.000921   0.000000  
nam                  0.000921   0.000000  
narrow               0.000921   0.000000  
nation               0.000921   0.000000  
nearli               0.000921   0.000000  
neck                 0.000921   0.000000  
need                 0.000921   0.000000  
never                0.000921   0.000000  
next                 0.000921   0.000000  
night                0.000921   0.000000  
nobodi               0.000921   0.000000  
nohow                0.000921   0.000000  
nois                 0.000921   0.000000  
none                 0.000921   0.000000  
nose                 0.000921   0.000000  
noth                 0.000921   0.000000  
now                  0.000921   0.000000  
numskul              0.000921   0.000000  
nuther               0.000921   0.000000  
oath                 0.000921   0.000000  
odd                  0.000921   0.000000  
offer                0.000921   0.000000  
oh                   0.000921   0.000000  
oho-o                0.000921   0.000000  
ol                   0.000921   0.000000  
old                  0.000921   0.000000  
order                0.000921   0.000000  
orlean               0.000921   0.000000  
orneri               0.000921   0.000000  
other                0.000921   0.000000  
owl                  0.000921   0.000000  
ox                   0.000921   0.000000  
pack                 0.000921   0.000000  
pai                  0.000921   0.000000  
paid                 0.000921   0.000000  
palac                0.000921   0.000000  
pap                  0.000921   0.000000  
paper                0.000921   0.000000  
parcel               0.000921   0.000000  
particular           0.000921   0.000000  
passag               0.000921   0.000000  
path                 0.000921   0.000000  
peck                 0.000921   0.000000  
peg                  0.000921   0.000000  
pencil               0.000921   0.000000  
peopl                0.000921   0.000000  
per'ap               0.000921   0.000000  
perfect              0.000921   0.000000  
person               0.000921   0.000000  
picnic               0.000921   0.000000  
pie                  0.000921   0.000000  
piec                 0.000921   0.000000  
pil                  0.000921   0.000000  
pin                  0.000921   0.000000  
pipe                 0.000921   0.000000  
pirate-book          0.000921   0.000000  
pleas                0.000921   0.000000  
plenti               0.000921   0.000000  
po                   0.000921   0.000000  
pok                  0.000921   0.000000  
polit                0.000921   0.000000  
polli                0.000921   0.000000  
poor                 0.000921   0.000000  
pork                 0.000921   0.000000  
potato               0.000921   0.000000  
power                0.000921   0.000000  
powwow               0.000921   0.000000  
practic              0.000921   0.000000  
prayer               0.000921   0.000000  
pretend              0.000921   0.000000  
pretti               0.000921   0.000000  
primer-class         0.000921   0.000000  
profit               0.000921   0.000000  
properti             0.000921   0.000000  
proud                0.000921   0.000000  
put                  0.000921   0.000000  
puzzl                0.000921   0.000000  
qualiti              0.000921   0.000000  
quarri               0.000921   0.000000  
quarter              0.000921   0.000000  
question             0.000921   0.000000  
quick                0.000921   0.000000  
quiet                0.000921   0.000000  
quit                 0.000921   0.000000  
quixot               0.000921   0.000000  
ragg                 0.000921   0.000000  
raspi                0.000921   0.000000  
raw                  0.000921   0.000000  
re                   0.000921   0.000000  
reach                0.000921   0.000000  
read                 0.000921   0.000000  
readi                0.000921   0.000000  
real                 0.000921   0.000000  
realli               0.000921   0.000000  
regular              0.000921   0.000000  
resign               0.000921   0.000000  
resk                 0.000921   0.000000  
respect              0.000921   0.000000  
rest                 0.000921   0.000000  
rich                 0.000921   0.000000  
right                0.000921   0.000000  
ring                 0.000921   0.000000  
river                0.000921   0.000000  
road                 0.000921   0.000000  
rob                  0.000921   0.000000  
robb                 0.000921   0.000000  
robber-book          0.000921   0.000000  
robberi              0.000921   0.000000  
robinson             0.000921   0.000000  
rode                 0.000921   0.000000  
roger                0.000921   0.000000  
roll                 0.000921   0.000000  
room                 0.000921   0.000000  
rott                 0.000921   0.000000  
rough                0.000921   0.000000  
roun                 0.000921   0.000000  
round                0.000921   0.000000  
ruin                 0.000921   0.000000  
rule                 0.000921   0.000000  
run                  0.000921   0.000000  
rung                 0.000921   0.000000  
rush                 0.000921   0.000000  
rustl                0.000921   0.000000  
s'pose               0.000921   0.000000  
saddle-boil          0.000921   0.000000  
said                 0.000921   0.000000  
